PPDA_H_Int1,PPDA_H_Int2,PPDA_H_Int3,PPDA_H_Int4,PPDA_H_Int5,PPDA_H_Int6,PPDA_A_Int1,PPDA_A_Int2,PPDA_A_Int3,PPDA_A_Int4,PPDA_A_Int5,PPDA_A_Int6,home team,away team,Relative quality,xG_H_Int1,xG_H_Int2,xG_H_Int3,xG_H_Int4,xG_H_Int5,xG_H_Int6,xG_A_Int1,xG_A_Int2,xG_A_Int3,xG_A_Int4,xG_A_Int5,xG_A_Int6,PPDA_H_1stHalf,PPDA_H_2ndHalf,PPDA_A_1stHalf,PPDA_A_2ndHalf,xG_H_1stHalf,xG_H_2ndHalf,xG_A_1stHalf,xG_A_2ndHalf,xG_H_Total,xG_A_Total,PPDA_H_Total,PPDA_A_Total,MatchSuspicionType,xG_Diff_Total,xG_Diff_1stHalf,xG_Diff_2ndHalf,PPDA_H_Change,PPDA_A_Change,HomePressingDrop,AwayPressingDrop,xG_H_Change,xG_A_Change,HomeAttackingDrop,AwayAttackingDrop,xG_H_Early,xG_A_Early,xG_H_Late,xG_A_Late,xG_H_Mid,xG_A_Mid,PPDA_H_Early,PPDA_A_Early,PPDA_H_Mid,PPDA_A_Mid,PPDA_H_Late,PPDA_A_Late,xG_H_to_PPDA,xG_A_to_PPDA,xG_H_TotalChange,xG_A_TotalChange,PPDA_H_TotalChange,PPDA_A_TotalChange
4.78,5.63,5.8,6.71,7.71,6.0,13.75,11.8,7.2,6.25,14.5,16.0,unidentified,unidentified,home team stronger,0.03,0.2,0.98,0.83,0.78,0.3,0.05,0.02,0.1,0.23,0.37,0.06,5.4,6.81,10.92,12.25,1.21,1.91,0.17,0.66,3.12,0.83,6.1,11.58,unidentified,2.29,1.04,1.25,1.41,1.33,1,1,0.7,0.49,0,0,0.86,0.28,1.28,0.16,0.98,0.39,5.74,10.0,6.67,13.15,5.9,11.6,0.51,0.07,1.63,0.69,4.64,17.25
4.33,4.4,6.75,7.75,5.0,9.4,13.67,14.0,6.75,4.38,10.0,3.2,unidentified,unidentified,away team stronger,0.12,0.07,1.2,0.0,0.0,0.1,0.0,0.62,0.76,0.23,0.24,0.0,5.16,7.38,11.47,5.86,1.39,0.1,1.38,0.47,1.49,1.85,6.27,8.67,unidentified,-0.36,0.01,-0.37,2.22,-5.61,1,0,-1.29,-0.91,1,1,0.12,0.23,1.3,0.76,0.07,0.86,6.04,9.02,4.7,12.0,8.07,4.97,0.24,0.21,2.48,1.54,10.57,22.37
2.83,6.43,7.86,9.25,7.17,7.88,4.0,7.5,4.11,2.1,6.2,4.29,unidentified,unidentified,away team stronger,0.0,0.34,0.0,0.12,0.76,0.0,0.16,0.1,0.18,0.06,0.0,0.66,5.71,8.1,5.2,4.2,0.34,0.88,0.44,0.72,1.22,1.16,6.9,4.7,unidentified,0.06,-0.1,0.16,2.39,-1.0,1,0,0.54,0.28,0,0,0.12,0.22,0.0,0.84,1.1,0.1,6.04,3.05,6.8,6.85,7.87,4.2,0.18,0.25,2.2,0.98,9.21,14.91
16.5,10.25,16.5,3.25,7.5,6.75,19.67,32.5,8.25,8.0,9.0,7.14,suspicious,suspicious,away team stronger,0.0,0.0,0.31,0.04,0.04,0.06,0.0,0.75,0.1,0.0,0.15,1.13,14.42,5.83,20.14,8.05,0.31,0.14,0.85,1.28,0.45,2.13,10.12,14.09,both suspicious,-1.68,-0.54,-1.14,-8.59,-12.09,0,0,-0.17,0.43,1,0,0.04,0.0,0.37,1.23,0.04,0.9,9.88,13.84,8.88,20.75,11.62,7.7,0.04,0.15,0.6,2.63,30.75,40.19
16.0,4.0,8.0,4.57,4.0,2.21,14.0,4.75,5.86,5.2,7.6,5.2,unidentified,unidentified,equal strength teams,0.01,0.01,0.14,0.11,0.0,0.2,0.02,0.09,0.18,0.11,0.18,0.15,9.33,3.59,8.2,6.0,0.16,0.31,0.29,0.44,0.47,0.73,6.46,7.1,unidentified,-0.26,-0.13,-0.13,-5.74,-2.2,0,0,0.15,0.15,0,0,0.12,0.13,0.34,0.33,0.01,0.27,10.28,9.6,4.0,6.18,5.11,5.53,0.07,0.1,0.47,0.33,21.79,15.82
7.0,8.5,4.56,9.33,3.63,5.13,12.25,7.7,7.6,9.0,10.2,26.5,unidentified,unidentified,home team stronger,0.11,0.15,0.08,0.3,0.03,0.28,0.4,0.0,0.15,0.0,0.14,0.0,6.69,6.03,9.18,15.23,0.34,0.61,0.55,0.14,0.95,0.69,6.36,12.21,unidentified,0.26,-0.21,0.47,-0.66,6.05,0,1,0.27,-0.41,0,1,0.41,0.4,0.36,0.15,0.18,0.14,8.16,10.62,6.06,8.95,4.84,17.05,0.15,0.06,0.85,0.98,17.41,23.55
6.6,13.0,18.0,3.43,4.71,41.0,4.75,7.17,3.28,2.38,7.0,2.7,unidentified,unidentified,equal strength teams,0.03,0.0,0.0,0.84,0.34,0.33,0.0,0.04,0.09,0.16,0.3,0.14,12.53,16.38,5.07,4.03,0.03,1.51,0.13,0.6,1.54,0.73,14.46,4.55,unidentified,0.81,-0.1,0.91,3.85,-1.04,1,0,1.48,0.47,0,0,0.87,0.16,0.33,0.23,0.34,0.34,5.01,3.56,8.86,7.08,29.5,2.99,0.11,0.16,1.38,0.46,63.54,16.13
3.08,5.0,17.33,11.25,6.25,5.29,10.0,4.57,3.71,5.75,4.4,3.6,unidentified,unidentified,home team stronger,0.05,0.31,0.23,0.15,0.53,0.42,0.0,0.0,0.03,0.1,0.12,0.0,8.47,7.6,6.09,4.58,0.59,1.1,0.03,0.22,1.69,0.25,8.03,5.34,unidentified,1.44,0.56,0.88,-0.87,-1.51,0,0,0.51,0.19,0,0,0.2,0.1,0.65,0.03,0.84,0.12,7.16,7.88,5.62,4.49,11.31,3.66,0.21,0.05,0.91,0.24,26.29,10.48
22.5,7.0,8.0,18.33,7.8,6.0,4.71,4.0,3.0,3.67,6.57,3.0,unidentified,unidentified,away team stronger,0.08,0.15,0.59,0.01,0.0,0.01,0.0,0.52,0.18,0.87,0.23,1.14,12.5,10.71,3.9,4.41,0.82,0.02,0.7,2.24,0.84,2.94,11.6,4.16,unidentified,-2.1,0.12,-2.22,-1.79,0.51,0,1,-0.8,1.54,1,0,0.09,0.87,0.6,1.32,0.15,0.75,20.42,4.19,7.4,5.28,7.0,3.0,0.07,0.71,1.11,3.1,39.16,8.85
19.83,11.6,18.0,19.33,25.5,18.0,4.56,8.25,11.0,16.67,8.67,4.55,unidentified,unidentified,away team stronger,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1.2,16.48,20.94,7.94,9.96,0.12,0.0,0.0,1.27,0.12,1.27,18.71,8.95,unidentified,-1.15,0.12,-1.27,4.46,2.02,1,1,-0.12,1.27,1,0,0.0,0.0,0.12,1.2,0.0,0.07,19.58,10.62,18.55,8.46,18.0,7.78,0.01,0.14,0.24,1.2,29.63,24.23
17.0,5.0,11.0,18.0,12.5,4.5,9.75,8.67,4.6,5.67,4.0,9.75,unidentified,unidentified,home team stronger,0.01,0.0,0.0,0.05,0.0,0.62,0.0,0.01,0.06,0.14,0.0,0.16,11.0,11.67,7.67,6.47,0.01,0.67,0.07,0.3,0.68,0.37,11.33,7.07,unidentified,0.31,-0.06,0.37,0.67,-1.2,1,0,0.66,0.23,0,0,0.06,0.14,0.62,0.22,0.0,0.01,17.5,7.71,8.75,6.34,7.75,7.18,0.06,0.05,0.73,0.44,38.5,13.64
15.75,10.8,10.6,13.75,26.5,1.83,5.0,13.67,8.0,3.4,15.33,6.6,unidentified,unidentified,away team stronger,0.01,0.0,0.07,0.1,0.0,0.8,0.5,0.01,0.12,0.02,0.58,0.6,12.38,14.03,8.89,8.44,0.08,0.9,0.63,1.2,0.98,1.83,13.2,8.67,unidentified,-0.85,-0.55,-0.3,1.65,-0.45,1,0,0.82,0.57,0,0,0.11,0.52,0.87,0.72,0.0,0.59,14.75,4.2,18.65,14.5,6.22,7.3,0.07,0.21,1.01,1.28,45.72,39.6
15.0,6.8,23.5,8.67,3.63,2.08,5.67,6.6,7.17,8.0,8.33,7.38,unidentified,unidentified,away team stronger,0.0,0.8,0.26,0.02,0.0,0.46,0.19,0.02,0.22,0.1,0.05,0.05,15.1,4.79,6.48,7.9,1.06,0.48,0.43,0.2,1.54,0.63,9.95,7.19,unidentified,0.91,0.63,0.28,-10.31,1.42,0,1,-0.58,-0.23,1,1,0.02,0.29,0.72,0.27,0.8,0.07,11.84,6.84,5.22,7.46,12.79,7.28,0.15,0.09,2.06,0.54,46.32,3.61
5.5,8.0,8.8,11.0,36.0,15.2,3.0,9.25,9.0,4.8,5.33,2.5,unidentified,unidentified,equal strength teams,0.03,0.05,0.71,0.12,0.03,0.46,0.75,0.0,0.0,0.06,0.05,0.71,7.43,20.73,7.08,4.21,0.79,0.61,0.75,0.82,1.4,1.57,14.08,5.65,unidentified,-0.17,0.04,-0.21,13.3,-2.87,1,0,-0.18,0.07,1,0,0.15,0.81,1.17,0.71,0.08,0.05,8.25,3.9,22.0,7.29,12.0,5.75,0.1,0.28,1.79,1.48,51.3,14.06
4.9,10.5,14.2,12.33,9.8,23.0,1.75,4.0,7.0,4.17,6.4,4.33,unidentified,unidentified,away team stronger,0.0,0.0,0.12,0.45,0.23,0.13,0.53,0.0,0.0,0.0,0.09,0.36,9.87,15.04,4.25,4.97,0.12,0.81,0.53,0.45,0.93,0.98,12.46,4.61,unidentified,-0.05,-0.41,0.36,5.17,0.72,1,1,0.69,-0.08,0,1,0.45,0.53,0.25,0.36,0.23,0.09,8.62,2.96,10.15,5.2,18.6,5.66,0.07,0.21,0.77,0.89,26.9,12.38
3.75,3.0,9.0,9.0,4.5,4.78,12.67,4.78,13.0,11.4,7.6,3.45,unidentified,unidentified,home team stronger,0.13,0.0,0.18,0.06,0.9,1.11,0.0,0.0,0.08,0.23,0.0,0.1,5.25,6.09,10.15,7.48,0.31,2.07,0.08,0.33,2.38,0.41,5.67,8.82,unidentified,1.97,0.23,1.74,0.84,-2.67,1,0,1.76,0.25,0,0,0.19,0.23,1.29,0.18,0.9,0.0,6.38,12.04,3.75,6.19,6.89,8.22,0.42,0.05,1.48,0.56,11.53,25.66
2.36,6.0,6.5,3.43,4.45,7.4,12.6,6.75,7.0,9.75,6.17,5.63,unidentified,unidentified,equal strength teams,0.11,0.08,0.02,0.3,0.41,0.12,0.0,0.03,0.76,0.0,0.0,1.34,4.95,5.09,8.78,7.18,0.21,0.83,0.79,1.34,1.04,2.13,5.02,7.98,unidentified,-1.09,-0.58,-0.51,0.14,-1.6,1,0,0.62,0.55,0,0,0.41,0.0,0.14,2.1,0.49,0.03,2.9,11.18,5.22,6.46,6.95,6.32,0.21,0.27,0.77,2.86,11.18,12.97
8.17,3.36,6.88,5.0,28.0,4.5,7.43,4.22,8.5,4.14,6.0,14.0,unidentified,unidentified,equal strength teams,0.12,0.11,0.13,0.28,0.65,0.46,0.03,0.44,0.76,0.0,0.01,0.07,6.14,12.5,6.72,8.05,0.36,1.39,1.23,0.08,1.75,1.31,9.32,7.38,unidentified,0.44,-0.87,1.31,6.36,1.33,1,1,1.03,-1.15,0,1,0.4,0.03,0.59,0.83,0.76,0.45,6.58,5.78,15.68,5.11,5.69,11.25,0.19,0.18,0.74,1.56,56.71,21.71
7.6,6.33,2.45,3.45,3.43,3.82,3.75,8.4,14.33,23.0,9.5,6.43,unidentified,unidentified,home team stronger,0.09,0.41,0.51,0.0,0.23,0.13,0.01,0.58,0.02,0.0,0.07,0.16,5.46,3.57,8.83,12.98,1.01,0.36,0.61,0.23,1.37,0.84,4.51,10.9,unidentified,0.53,0.4,0.13,-1.89,4.15,0,1,-0.65,-0.38,1,1,0.09,0.01,0.64,0.18,0.64,0.65,5.52,13.38,4.88,8.95,3.14,10.38,0.3,0.08,1.26,1.31,6.56,35.82
6.0,18.75,14.0,13.0,7.67,3.07,4.13,13.0,3.38,5.38,5.5,13.75,unidentified,unidentified,away team stronger,0.01,0.0,0.0,0.02,0.15,0.04,0.0,0.15,0.05,0.0,0.0,0.26,12.92,7.91,6.84,8.21,0.01,0.21,0.2,0.26,0.22,0.46,10.42,7.52,unidentified,-0.24,-0.19,-0.05,-5.01,1.37,0,1,0.2,0.06,0,0,0.03,0.0,0.04,0.31,0.15,0.15,9.5,4.76,13.21,9.25,8.54,8.56,0.02,0.06,0.27,0.56,28.43,28.86
5.1,5.25,8.29,15.5,6.17,7.5,11.29,9.14,6.2,33.0,10.2,20.25,unidentified,unidentified,home team stronger,0.03,0.0,1.11,0.18,0.14,0.18,0.17,0.2,0.0,0.85,0.15,0.0,6.21,9.72,8.88,21.15,1.14,0.5,0.37,1.0,1.64,1.37,7.97,15.01,unidentified,0.27,0.77,-0.5,3.51,12.27,1,1,-0.64,0.63,1,0,0.21,1.02,1.29,0.0,0.14,0.35,10.3,22.14,5.71,9.67,7.9,13.22,0.21,0.09,2.15,1.93,21.06,64.74
3.8,2.83,4.11,4.33,9.0,6.45,3.6,6.0,4.09,9.5,11.5,2.0,unidentified,unidentified,equal strength teams,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.09,0.23,0.0,0.0,0.07,3.58,6.59,4.56,7.67,0.0,0.5,0.32,0.07,0.5,0.39,5.09,6.11,unidentified,0.11,-0.32,0.43,3.01,3.11,1,1,0.5,-0.25,0,1,0.0,0.0,0.2,0.3,0.3,0.09,4.06,6.55,5.92,8.75,5.28,3.04,0.1,0.06,0.4,0.53,9.69,21.22
10.0,9.2,11.0,5.29,24.67,4.14,4.67,12.0,13.5,11.75,22.0,19.0,unidentified,unidentified,away team stronger,0.22,0.0,0.17,0.11,0.0,0.67,0.18,0.53,0.48,0.0,0.34,0.0,10.07,11.37,10.06,17.58,0.39,0.78,1.19,0.34,1.17,1.53,10.72,13.82,unidentified,-0.36,-0.8,0.44,1.3,7.52,1,1,0.39,-0.85,0,1,0.33,0.18,0.84,0.48,0.0,0.87,7.64,8.21,16.94,17.0,7.57,16.25,0.11,0.11,1.23,1.56,48.22,23.83
9.25,3.64,25.0,5.14,6.2,5.42,6.63,2.69,3.56,14.0,8.33,5.1,unidentified,unidentified,equal strength teams,0.0,0.44,0.39,0.62,0.0,0.09,0.02,0.14,0.25,0.0,0.01,0.12,12.63,5.59,4.29,9.14,0.83,0.71,0.41,0.13,1.54,0.54,9.11,6.72,unidentified,1.0,0.42,0.58,-7.04,4.85,0,1,-0.12,-0.28,1,1,0.62,0.02,0.48,0.37,0.44,0.15,7.2,10.32,4.92,5.51,15.21,4.33,0.17,0.08,1.43,0.6,48.67,24.15
9.0,8.14,8.86,9.67,8.67,9.17,7.8,13.0,12.33,11.0,4.5,5.86,unidentified,unidentified,away team stronger,0.0,0.12,0.22,0.04,0.03,0.11,0.05,0.0,0.01,0.0,0.44,0.06,8.67,9.17,11.04,7.12,0.34,0.18,0.06,0.5,0.52,0.56,8.92,9.08,unidentified,-0.04,0.28,-0.32,0.5,-3.92,1,0,-0.16,0.44,1,0,0.04,0.05,0.33,0.07,0.15,0.44,9.34,9.4,8.41,8.75,9.02,9.1,0.06,0.06,0.49,0.89,3.89,15.06
7.0,3.5,4.08,3.0,10.67,6.6,4.0,7.33,6.82,20.5,3.5,4.86,unidentified,unidentified,away team stronger,0.0,0.16,0.25,0.0,0.04,0.16,0.02,0.04,0.27,0.01,0.05,0.17,4.86,6.76,6.05,9.62,0.41,0.2,0.33,0.23,0.61,0.56,5.81,7.84,unidentified,0.05,0.08,-0.03,1.9,3.57,1,1,-0.21,-0.1,1,1,0.0,0.03,0.41,0.44,0.2,0.09,5.0,12.25,7.08,5.42,5.34,5.84,0.1,0.07,0.66,0.67,16.9,35.88
2.56,7.6,7.8,26.5,14.5,29.5,5.0,7.8,12.25,10.33,5.86,5.4,unidentified,unidentified,equal strength teams,0.0,0.07,0.18,0.14,0.37,0.24,0.0,0.0,0.08,0.14,0.37,0.1,5.99,23.5,8.35,7.2,0.25,0.75,0.08,0.61,1.0,0.69,14.74,7.77,unidentified,0.31,0.17,0.14,17.51,-1.15,1,0,0.5,0.53,0,0,0.14,0.14,0.42,0.18,0.44,0.37,14.53,7.66,11.05,6.83,18.65,8.82,0.07,0.09,0.58,0.64,50.94,14.1
7.6,9.0,8.63,11.0,6.8,6.25,4.83,10.0,7.2,5.33,3.8,3.43,unidentified,unidentified,home team stronger,0.13,0.08,0.76,0.06,0.28,0.23,0.0,0.0,0.16,0.09,0.83,0.4,8.41,8.02,7.34,4.19,0.97,0.57,0.16,1.32,1.54,1.48,8.21,5.76,unidentified,0.06,0.81,-0.75,-0.39,-3.15,0,0,-0.4,1.16,1,0,0.19,0.09,0.99,0.56,0.36,0.83,9.3,5.08,7.9,6.9,7.44,5.32,0.19,0.26,1.7,1.4,8.89,11.74
5.75,5.0,6.67,4.25,21.5,59.0,8.0,9.5,29.5,8.0,7.75,6.4,suspicious,suspicious,away team stronger,0.02,0.05,0.0,0.86,0.0,0.05,0.75,0.2,0.0,0.0,0.0,0.0,5.81,28.25,15.67,7.38,0.07,0.91,0.95,0.0,0.98,0.95,17.03,11.52,both suspicious,0.03,-0.88,0.91,22.44,-8.29,1,0,0.84,-0.95,0,1,0.88,0.75,0.05,0.0,0.05,0.2,5.0,8.0,13.25,8.62,32.84,17.95,0.06,0.08,1.85,0.75,59.59,44.6
8.4,8.5,4.43,12.0,8.0,4.0,6.0,8.8,5.22,45.0,10.67,6.29,unidentified,unidentified,home team stronger,0.8,0.1,0.77,0.0,0.01,0.0,0.36,0.35,0.0,0.55,0.77,0.16,7.11,8.0,6.67,20.65,1.67,0.01,0.71,1.48,1.68,2.19,7.56,13.66,unidentified,-0.51,0.96,-1.47,0.89,13.98,1,1,-1.66,0.77,1,0,0.8,0.91,0.77,0.16,0.11,1.12,10.2,25.5,8.25,9.74,4.22,5.76,0.22,0.16,2.16,1.74,19.74,84.87
8.14,8.57,11.5,12.75,4.83,5.5,5.75,2.38,3.0,3.0,3.43,5.43,unidentified,unidentified,away team stronger,0.09,0.01,0.0,0.0,0.53,0.46,0.07,0.02,1.07,0.31,0.18,0.27,9.4,7.69,3.71,3.95,0.1,0.99,1.16,0.76,1.09,1.92,8.55,3.83,unidentified,-0.83,-1.06,0.23,-1.71,0.24,0,1,0.89,-0.4,0,1,0.09,0.38,0.46,1.34,0.54,0.2,10.44,4.38,6.7,2.9,8.5,4.22,0.13,0.5,0.69,2.08,13.2,6.42
5.4,4.8,9.75,7.57,2.86,2.8,3.67,3.27,11.75,12.75,5.83,11.0,unidentified,unidentified,home team stronger,0.01,0.35,0.5,0.06,0.02,0.06,0.0,0.33,0.0,0.17,0.51,0.01,6.65,4.41,6.23,9.86,0.86,0.14,0.33,0.69,1.0,1.02,5.53,8.04,unidentified,-0.02,0.53,-0.55,-2.24,3.63,0,1,-0.72,0.36,1,0,0.07,0.17,0.56,0.01,0.37,0.84,6.48,8.21,3.83,4.55,6.28,11.38,0.18,0.13,1.01,1.67,12.5,21.97
3.33,4.89,6.0,4.9,14.0,3.8,3.6,8.4,5.75,7.33,7.67,9.0,unidentified,unidentified,equal strength teams,0.28,0.0,0.44,0.59,0.16,0.06,0.0,0.03,0.9,0.0,0.0,0.2,4.74,7.57,5.92,8.0,0.72,0.81,0.93,0.2,1.53,1.13,6.15,6.96,unidentified,0.4,-0.21,0.61,2.83,2.08,1,1,0.09,-0.73,0,1,0.87,0.0,0.5,1.1,0.16,0.03,4.12,5.46,9.44,8.04,4.9,7.38,0.25,0.16,1.4,2.0,23.07,10.7
2.64,5.75,19.5,5.4,4.17,7.8,14.75,3.6,8.75,8.0,11.67,3.56,unidentified,unidentified,equal strength teams,0.06,0.03,0.16,0.05,0.28,0.05,0.01,0.0,0.01,0.23,0.0,0.0,9.3,5.79,9.03,7.74,0.25,0.38,0.02,0.23,0.63,0.25,7.54,8.39,unidentified,0.38,0.23,0.15,-3.51,-1.29,0,0,0.13,0.21,0,0,0.11,0.24,0.21,0.01,0.31,0.0,4.02,11.38,4.96,7.64,13.65,6.16,0.08,0.03,0.73,0.47,35.82,28.83
19.0,5.67,10.4,2.46,6.5,13.0,4.25,4.55,6.9,4.64,11.0,7.25,unidentified,unidentified,away team stronger,0.0,0.0,0.04,0.0,0.19,0.85,0.08,0.56,0.0,0.05,1.08,0.4,11.69,7.32,5.23,7.63,0.04,1.04,0.64,1.53,1.08,2.17,9.51,6.43,unidentified,-1.09,-0.6,-0.49,-4.37,2.4,0,1,1.0,0.89,0,0,0.0,0.13,0.89,0.4,0.19,1.64,10.73,4.44,6.08,7.78,11.7,7.08,0.11,0.34,0.93,2.8,36.54,15.02
16.33,7.25,10.33,4.0,2.78,4.3,12.0,5.86,10.5,13.4,13.75,7.71,unidentified,unidentified,home team stronger,0.49,0.02,0.36,0.06,0.1,0.23,0.0,0.16,0.46,0.0,0.0,0.22,11.3,3.69,9.45,11.62,0.87,0.39,0.62,0.22,1.26,0.84,7.5,10.54,unidentified,0.42,0.25,0.17,-7.61,2.17,0,1,-0.48,-0.4,1,1,0.55,0.0,0.59,0.68,0.12,0.16,10.16,12.7,5.01,9.8,7.32,9.1,0.17,0.08,1.28,1.14,21.23,20.07
11.2,25.0,5.38,5.29,33.0,10.17,15.5,4.86,17.5,2.29,3.0,4.17,unidentified,unidentified,away team stronger,0.0,0.12,0.24,0.31,0.39,0.0,0.06,0.06,0.07,0.21,0.0,0.18,13.86,16.15,12.62,3.15,0.36,0.7,0.19,0.39,1.06,0.58,15.01,7.89,unidentified,0.48,0.17,0.31,2.29,-9.47,1,0,0.34,0.2,0,0,0.31,0.27,0.24,0.25,0.51,0.06,8.24,8.9,29.0,3.93,7.78,10.84,0.07,0.07,0.78,0.54,84.05,40.37
10.25,4.22,6.67,4.63,3.0,4.08,8.6,14.4,4.3,10.0,6.57,6.29,unidentified,unidentified,away team stronger,0.0,0.0,0.01,0.27,0.0,0.18,0.31,0.0,0.0,0.4,0.34,0.28,7.05,3.9,9.1,7.62,0.01,0.45,0.31,1.02,0.46,1.33,5.48,8.36,unidentified,-0.87,-0.3,-0.57,-3.15,-1.48,0,0,0.44,0.71,0,0,0.27,0.71,0.19,0.28,0.0,0.34,7.44,9.3,3.61,10.48,5.38,5.3,0.08,0.16,0.72,0.83,13.23,25.31
8.4,7.0,5.13,9.5,7.25,5.5,4.43,7.0,3.29,16.0,7.67,3.0,unidentified,unidentified,home team stronger,0.25,0.0,0.76,0.13,0.23,0.34,0.02,0.55,0.0,0.0,0.21,0.44,6.84,7.42,4.91,8.89,1.01,0.7,0.57,0.65,1.71,1.22,7.13,6.9,unidentified,0.49,0.44,0.05,0.58,3.98,1,1,-0.31,0.08,1,0,0.38,0.02,1.1,0.44,0.23,0.76,8.95,10.22,7.12,7.34,5.32,3.14,0.24,0.18,1.85,1.52,11.64,31.99
8.0,5.67,6.2,10.0,1.89,4.57,9.86,7.63,8.63,4.0,7.14,11.17,unidentified,unidentified,home team stronger,0.16,0.0,0.32,0.13,0.0,0.24,0.1,0.0,0.04,0.0,0.01,0.32,6.62,5.49,8.71,7.44,0.48,0.37,0.14,0.33,0.85,0.47,6.06,8.07,unidentified,0.38,0.34,0.04,-1.13,-1.27,0,0,-0.11,0.19,1,0,0.29,0.1,0.56,0.36,0.0,0.01,9.0,6.93,3.78,7.38,5.38,9.9,0.14,0.06,1.04,0.5,17.45,15.03
7.67,42.0,2.92,5.89,14.33,2.67,6.0,9.4,22.5,5.5,19.5,8.0,unidentified,unidentified,home team stronger,0.0,0.87,0.17,0.0,0.77,0.32,0.04,0.0,0.12,0.08,0.35,0.01,17.53,7.63,12.63,11.0,1.04,1.09,0.16,0.44,2.13,0.6,12.58,11.82,unidentified,1.53,0.88,0.65,-9.9,-1.63,0,0,0.05,0.28,0,0,0.0,0.12,0.49,0.13,1.64,0.35,6.78,5.75,28.16,14.45,2.8,15.25,0.17,0.05,2.96,0.81,96.48,59.0
6.75,14.0,5.71,13.0,3.5,9.0,13.0,30.0,14.17,12.5,10.25,15.0,unidentified,unidentified,equal strength teams,0.14,0.0,0.32,0.03,0.31,0.01,0.03,0.08,0.15,0.3,0.01,0.03,8.82,8.5,19.06,12.58,0.46,0.35,0.26,0.34,0.81,0.6,8.66,15.82,unidentified,0.21,0.2,0.01,-0.32,-6.48,0,0,-0.11,0.08,1,0,0.17,0.33,0.33,0.18,0.31,0.09,9.88,12.75,8.75,20.12,7.36,14.58,0.09,0.04,1.33,0.58,37.83,41.5
6.4,4.5,3.5,5.38,9.5,7.86,21.67,9.67,8.33,4.43,8.75,3.78,unidentified,unidentified,home team stronger,0.21,0.31,0.16,0.08,0.83,0.13,0.0,0.0,0.24,0.0,1.35,0.08,4.8,7.58,13.22,5.65,0.68,1.04,0.24,1.43,1.72,1.67,6.19,9.44,unidentified,0.05,0.44,-0.39,2.78,-7.57,1,0,0.36,1.19,0,0,0.29,0.0,0.29,0.32,1.14,1.35,5.89,13.05,7.0,9.21,5.68,6.06,0.28,0.18,1.78,3.1,10.54,26.53
5.56,4.13,13.5,3.38,3.57,3.33,74.0,14.33,10.6,12.0,16.5,5.0,unidentified,unidentified,home team stronger,0.1,0.43,0.0,0.0,0.23,0.15,0.0,0.16,0.09,0.05,0.01,0.11,7.73,3.43,32.98,11.17,0.53,0.38,0.25,0.17,0.91,0.42,5.58,22.07,unidentified,0.49,0.28,0.21,-4.3,-21.81,0,0,-0.15,-0.08,1,1,0.1,0.05,0.15,0.2,0.66,0.17,4.47,43.0,3.85,15.42,8.41,7.8,0.16,0.02,1.07,0.41,21.35,80.8
4.0,4.33,3.17,3.22,7.6,3.58,18.5,12.4,20.0,28.67,37.5,22.5,unidentified,unidentified,home team stronger,0.39,0.0,0.2,0.03,0.88,0.64,0.0,0.06,0.14,0.0,0.03,0.07,3.83,4.8,16.97,29.56,0.59,1.55,0.2,0.1,2.14,0.3,4.32,23.26,unidentified,1.84,0.39,1.45,0.97,12.59,1,1,0.96,-0.1,0,1,0.42,0.0,0.84,0.21,0.88,0.09,3.61,23.58,5.96,24.95,3.38,21.25,0.5,0.01,1.85,0.35,9.94,46.2
3.8,1.3,4.5,5.2,1.29,3.5,4.75,6.0,6.0,3.78,42.0,4.93,unidentified,unidentified,away team stronger,0.02,0.24,0.09,0.27,0.16,0.88,0.24,0.07,0.45,0.19,0.66,0.04,3.2,3.33,5.58,16.9,0.35,1.31,0.76,0.89,1.66,1.65,3.26,11.24,unidentified,0.01,-0.41,0.42,0.13,11.32,1,1,0.96,0.13,0,0,0.29,0.43,0.97,0.49,0.4,0.73,4.5,4.26,1.3,24.0,4.0,5.46,0.51,0.15,1.38,1.9,12.52,78.76
3.31,11.67,5.0,6.0,4.43,5.0,18.5,14.75,12.75,11.4,6.57,3.88,unidentified,unidentified,away team stronger,0.21,0.07,0.03,0.03,0.0,0.67,0.0,0.21,0.1,0.03,0.34,0.05,6.66,5.14,15.33,7.28,0.31,0.7,0.31,0.42,1.01,0.73,5.9,11.31,unidentified,0.28,0.0,0.28,-1.52,-8.05,0,0,0.39,0.11,0,0,0.24,0.03,0.7,0.15,0.07,0.55,4.66,14.95,8.05,10.66,5.0,8.32,0.17,0.06,0.88,0.99,18.17,14.62
32.5,17.5,18.0,7.75,3.9,6.8,8.13,63.0,18.0,28.5,8.63,53.0,unidentified,unidentified,equal strength teams,0.15,0.03,0.13,0.39,0.05,0.55,0.02,0.03,0.07,0.12,0.0,0.27,22.67,6.15,29.71,30.04,0.31,0.99,0.12,0.39,1.3,0.51,14.41,29.88,unidentified,0.79,0.19,0.6,-16.52,0.33,0,1,0.68,0.27,0,0,0.54,0.14,0.68,0.34,0.08,0.03,20.12,18.32,10.7,35.82,12.4,35.5,0.09,0.02,1.32,0.49,32.5,174.61
