PPDA_H_Int1,PPDA_H_Int2,PPDA_H_Int3,PPDA_H_Int4,PPDA_H_Int5,PPDA_H_Int6,PPDA_A_Int1,PPDA_A_Int2,PPDA_A_Int3,PPDA_A_Int4,PPDA_A_Int5,PPDA_A_Int6,home team,away team,Relative quality,xG_H_Int1,xG_H_Int2,xG_H_Int3,xG_H_Int4,xG_H_Int5,xG_H_Int6,xG_A_Int1,xG_A_Int2,xG_A_Int3,xG_A_Int4,xG_A_Int5,xG_A_Int6,PPDA_H_1stHalf,PPDA_H_2ndHalf,PPDA_A_1stHalf,PPDA_A_2ndHalf,xG_H_1stHalf,xG_H_2ndHalf,xG_A_1stHalf,xG_A_2ndHalf,xG_H_Total,xG_A_Total,PPDA_H_Total,PPDA_A_Total,MatchSuspicionType,xG_Diff_Total,xG_Diff_1stHalf,xG_Diff_2ndHalf,PPDA_H_Change,PPDA_A_Change,HomePressingDrop,AwayPressingDrop,xG_H_Change,xG_A_Change,HomeAttackingDrop,AwayAttackingDrop,xG_H_Early,xG_A_Early,xG_H_Late,xG_A_Late,xG_H_Mid,xG_A_Mid,PPDA_H_Early,PPDA_A_Early,PPDA_H_Mid,PPDA_A_Mid,PPDA_H_Late,PPDA_A_Late,xG_H_to_PPDA,xG_A_to_PPDA,xG_H_TotalChange,xG_A_TotalChange,PPDA_H_TotalChange,PPDA_A_TotalChange
6.13,7.67,7.33,4.25,7.0,4.6,14.0,8.09,27.33,12.33,3.71,6.33,unidentified,unidentified,equal strength teams,0.0,0.17,0.2,0.0,0.24,0.45,0.0,0.0,0.02,0.16,0.0,0.72,7.04,5.28,16.47,7.46,0.37,0.69,0.02,0.88,1.06,0.9,6.16,11.96,unidentified,0.16,0.35,-0.19,-1.76,-9.01,0,0,0.32,0.86,0,0,0.0,0.16,0.65,0.74,0.41,0.0,5.19,13.16,7.34,5.9,5.96,16.83,0.17,0.08,0.85,1.04,10.11,51.39
3.4,3.0,2.71,3.83,5.6,3.5,15.5,13.67,8.8,21.0,8.4,9.2,unidentified,unidentified,home team stronger,0.32,0.37,0.07,0.92,0.05,1.34,0.0,0.5,0.0,0.0,0.01,0.81,3.04,4.31,12.66,12.87,0.76,2.31,0.5,0.82,3.07,1.32,3.67,12.76,unidentified,1.75,0.26,1.49,1.27,0.21,1,1,1.55,0.32,0,0,1.24,0.0,1.41,0.81,0.42,0.51,3.62,18.25,4.3,11.04,3.1,9.0,0.84,0.1,3.36,1.81,5.68,32.3
15.0,3.29,5.0,15.5,10.5,7.63,16.75,11.0,24.33,7.83,11.75,10.0,unidentified,unidentified,equal strength teams,0.02,0.0,0.28,0.24,0.0,0.44,0.0,0.0,0.0,0.01,0.05,0.3,7.76,11.21,17.36,9.86,0.3,0.68,0.0,0.36,0.98,0.36,9.49,13.61,unidentified,0.62,0.3,0.32,3.45,-7.5,1,0,0.38,0.36,0,0,0.26,0.01,0.72,0.3,0.0,0.05,15.25,12.29,6.9,11.38,6.32,17.16,0.1,0.03,1.02,0.3,31.79,41.25
9.56,18.25,17.0,12.5,19.67,34.5,10.83,15.5,16.0,10.4,11.0,16.33,unidentified,unidentified,equal strength teams,0.0,0.0,0.06,0.06,0.07,0.21,0.19,0.07,0.0,0.2,0.12,0.02,14.94,22.22,14.11,12.58,0.06,0.34,0.26,0.34,0.4,0.6,18.58,13.34,unidentified,-0.2,-0.2,0.0,7.28,-1.53,1,0,0.28,0.08,0,0,0.06,0.39,0.27,0.02,0.07,0.19,11.03,10.62,18.96,13.25,25.75,16.16,0.02,0.04,0.21,0.57,36.44,16.7
8.0,4.0,7.0,6.33,2.6,18.0,16.67,26.33,19.25,10.29,21.0,4.0,unidentified,unidentified,home team stronger,0.37,0.0,0.0,0.33,0.41,1.02,0.1,0.01,0.6,0.78,0.07,0.0,6.33,8.98,20.75,11.76,0.37,1.76,0.71,0.85,2.13,1.56,7.66,16.26,unidentified,0.57,-0.34,0.91,2.65,-8.99,1,0,1.39,0.14,0,0,0.7,0.88,1.02,0.6,0.41,0.08,7.16,13.48,3.3,23.66,12.5,11.62,0.28,0.1,1.39,1.64,26.8,53.41
6.25,10.83,6.1,4.88,11.83,8.5,10.8,26.0,5.83,9.33,5.17,7.0,unidentified,unidentified,home team stronger,0.27,0.0,0.04,0.26,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.17,7.73,8.4,14.21,7.17,0.31,0.26,0.04,0.17,0.57,0.21,8.06,10.69,unidentified,0.36,0.27,0.09,0.67,-7.04,1,0,-0.05,0.13,1,0,0.53,0.0,0.04,0.17,0.0,0.04,5.56,10.07,11.33,15.58,7.3,6.42,0.07,0.02,0.79,0.25,20.81,44.86
6.2,5.0,5.5,6.33,3.6,2.86,22.33,22.5,6.4,6.0,20.5,9.0,unidentified,unidentified,home team stronger,0.34,0.0,0.58,0.0,0.94,0.55,0.0,0.0,0.8,0.25,0.0,0.05,5.57,4.26,17.08,11.83,0.92,1.49,0.8,0.3,2.41,1.1,4.92,14.45,unidentified,1.31,0.12,1.19,-1.31,-5.25,0,0,0.57,-0.5,0,1,0.34,0.25,1.13,0.85,0.94,0.0,6.26,14.16,4.3,21.5,4.18,7.7,0.49,0.08,2.83,1.65,6.0,42.67
20.67,37.5,67.0,19.6,23.0,11.4,6.38,12.75,7.11,5.83,4.0,8.17,unidentified,unidentified,away team stronger,0.02,0.39,0.0,0.01,0.0,0.07,0.21,0.17,0.48,0.0,0.0,1.58,41.72,18.0,8.75,6.0,0.41,0.08,0.86,1.58,0.49,2.44,29.86,7.37,unidentified,-1.95,-0.45,-1.5,-23.72,-2.75,0,0,-0.33,0.72,1,0,0.03,0.21,0.07,2.06,0.39,0.17,20.14,6.1,30.25,8.38,39.2,7.64,0.02,0.33,0.85,2.41,108.73,19.29
9.0,10.6,12.5,8.75,5.25,9.75,7.71,3.88,6.1,10.67,5.0,3.0,unidentified,unidentified,equal strength teams,0.14,0.19,0.04,0.04,0.11,0.24,0.0,0.0,0.81,0.07,0.0,0.0,10.7,7.92,5.9,6.22,0.37,0.39,0.81,0.07,0.76,0.88,9.31,6.06,unidentified,-0.12,-0.44,0.32,-2.78,0.32,0,1,0.02,-0.74,0,1,0.18,0.07,0.28,0.81,0.3,0.0,8.88,9.19,7.92,4.44,11.12,4.55,0.08,0.15,0.4,1.62,15.25,18.29
25.5,28.0,13.33,17.2,74.0,21.67,4.5,5.0,10.5,4.0,6.0,15.5,unidentified,unidentified,away team stronger,0.02,0.17,0.0,0.01,0.25,0.39,0.0,0.02,0.14,0.0,0.25,0.91,22.28,37.62,6.67,8.5,0.19,0.65,0.16,1.16,0.84,1.32,29.95,7.58,unidentified,-0.48,0.03,-0.51,15.34,1.83,1,1,0.46,1.0,0,0,0.03,0.0,0.39,1.05,0.42,0.27,21.35,4.25,51.0,5.5,17.5,13.0,0.03,0.17,0.71,1.19,130.17,24.0
